tweet text,location
RT @SenFrankNiceley: Proverbs 16:18 https://t.co/pFeBAGGA3m,OK
"And an equally convincing argument that the TRUE Mr. Collins, in this race, is Ted Cruz. https://t.co/8mqqoPGL4r",NY
RT @JesseLaGreca: Read comments for lulz. Hilarious. Apparently a BIGOT pandering to rednecks is ok but supporting Trump is too much https:…,FL
@ChuckGrassley has apparently gone senile. Speaking at a Trump rally? How can you call yourself a conservative if you like Trump? #DumpTrump,IL
"RT @SenatorRonbo: Trump is not the ""flip flopper"" that his naive critics claim he is. You want proof? This video is from the '80s ..

https…",AR
@newtgingrich for Trump and to think I admired you and thought you were smart. Shame on me.  https://t.co/zPd52vvEqY,NC
"If the GOP  were to collapse as result of 2016 and we got a multiplicity of parties in its wake, what would they be?",MN
RT @crazylary51: #WeAreBernie denounces every Super PAC.but the Republican one that’s running TV adsfor him in IA! #NotFeelingTheBern https…,AL
"RT @GingerGibson: Ted Cruz ""It is so cold in Washington, I actually saw a Democrat with his hands in his own pockets.""",VA
RT @HinshawKate: At first Trump just seemed like a hilarious joke. Now it's actually terrifying that people in this country support him.,TN
"RT @LindaSuhler: Please RT and sign the petition to bar Megyn Kelly from future #GOPDebates!
#Trump2016 https://t.co/SjTn0y9d5R",TN
@ellenbardash @E_Arsenijevic @realDonaldTrump  Thank you for your interest. We all make mistakes.,IN
"RT @LOLGOP: As long as he didn't shoot them with ""amnesty"" or tolerance. https://t.co/6Baz8GtpVt",CA
"RT @thehill: Radio ads slam Trump: He is Clinton's ""old pal"" https://t.co/VFNjgBmiJS https://t.co/PdeZmFHpvs",TN
"RT @realDonaldTrump: Ted Cruz poll numbers are down big. Because he was born in Canada and was, until recently, a Canadian citizen, many be…",NJ
"and how the hell do you think you're gonna pay for the buildings, the labs, the books, the teachers, etc https://t.co/x4TnTa5uqR",TX
"RT @rickwtyler: Wait @realDonaldTrump, did you just retweet the group that wants to re-establish the Confederate States of America? https:/…",NY
RT @arabrapunzel: why is he saying that like it's something to be proud of https://t.co/yZzXzWR3Pk,CA
"@CebuSalute @cmichaeld2004 @realDonaldTrump @megynkelly yes. It was ignorant.  Not an attack, just saying there is a need to inform yourself",TX
RT @JoeMyGod: Bryan Fischer Has The GOP Super Sadz: They Have Officially Embraced Sodomy-Based ... - https://t.co/ljBEqI5L20 https://t.co/Z…,NC
"RT @SteveKingIA: ""A blizzard hit Washington and shut down the government."" @tedcruz's first Eeuuge applause line here w/Glenn Beck in Anken…",NM
RT @glennbeck: I am officially endorsing Ted Cruz to become the first Hispanic president! @tedcruz #iacaucus,NC
@Seatownsingin @wolfinout @BernieSanders that's incorrect: https://t.co/LfU6bEehmb,TX
"RT @TinaDupuy: Bloomberg is like if someone took Trump's money, Sanders' socialism, Rand Paul's height and made them anti-gun.",NY
"RT @glennbeck: The presidency is not just a man, it is principles. That's why I stand with @tedcruz @SenTedCruz",CA
"RT @loudobbsnews: Confusing, don't you think? https://t.co/feA2ihPwbk",FL
RT @thehill: Trump floats lawsuit over Cruz’s eligibility for the White House https://t.co/JouBOChI6C https://t.co/7DXW66bluM,NC
Wow.  Ted Cruz really is disliked by his colleagues https://t.co/FS8hghZKm3,IA
